"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Bean_Type","Broad_Bean_Origin","is_bitter"
"A. Morin","Peru",797,2012,63,"France",3.75,NA,"Peru","No"
"Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,NA,"Peru","Yes"
"Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"Criollo","Peru","Yes"
"Adi","Vanua Levu",705,2011,60,"Fiji",2.75,"Trinitario","Fiji","No"
"Adi","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Trinitario","Fiji","Yes"
"Adi","Vanua Levu",705,2011,88,"Fiji",3.5,"Trinitario","Fiji","Yes"
"Adi","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Trinitario","Fiji","Yes"
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",2.75,"Forastero (Arriba)","Ecuador","No"
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Forastero (Arriba)","Ecuador","Yes"
"Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Criollo","Mexico","Yes"
"Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"Trinitario","Indonesia","Yes"
"Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",2.75,"Criollo","Madagascar","Yes"
"Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",2.75,"Forastero","Brazil","Yes"
"Alain Ducasse","Trinite",1215,2014,65,"France",2.75,"Trinitario","Trinidad","No"
"Alain Ducasse","Vietnam",1215,2014,75,"France",2.75,"Trinitario","Vietnam","Yes"
"Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Trinitario","Madagascar","Yes"
"Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Trinitario","Venezuela","Yes"
"Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,NA,"Peru","Yes"
"Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Forastero (Nacional)","Ecuador","Yes"
"Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Criollo, Trinitario","Nicaragua","Yes"
"Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Trinitario","Vietnam","Yes"
"Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Forastero","Tanzania","Yes"
"Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",2.75,NA,"Nicaragua","No"
"Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,NA,"Peru","No"
"Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,NA,"Bolivia","No"
"Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,NA,"Peru","No"
"Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",2.75,NA,"Ecuador","No"
"Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,NA,"Venezuela","No"
"Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Trinitario","Dominican Republic","No"
"Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,NA,"Bolivia","Yes"
"Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,NA,"Bolivia","No"
"Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,NA,"Peru","No"
"Amano","Morobe",725,2011,70,"U.S.A.",4,NA,"Papua New Guinea","Yes"
"Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,NA,"Dominican Republic","Yes"
"Amano","Guayas",470,2010,70,"U.S.A.",4,NA,"Ecuador","Yes"
"Amano","Chuao",544,2010,70,"U.S.A.",3,"Trinitario","Venezuela","Yes"
"Amano","Montanya",363,2009,70,"U.S.A.",3,NA,"Venezuela","Yes"
"Amano","Bali, Jembrana",304,2008,70,"U.S.A.",2.75,NA,"Indonesia","Yes"
"Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Trinitario","Madagascar","Yes"
"Amano","Cuyagua",147,2007,70,"U.S.A.",3,NA,"Venezuela","Yes"
"Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"Criollo","Venezuela","Yes"
"Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Forastero","Ghana","Yes"
"Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",2.75,NA,"Ecuador","Yes"
"Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",2.75,NA,"Ecuador","Yes"
"Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Forastero","Ghana","Yes"
"Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,NA,"Peru","Yes"
"Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Trinitario","Peru","Yes"
"Ambrosia","Belize",1494,2015,64,"Canada",3,"Trinitario","Belize","No"
"Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Trinitario","Madagascar","No"
"Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,NA,"Dominican Republic","Yes"
"Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,NA,"Papua New Guinea","No"
"Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,NA,"Venezuela","Yes"
"Ambrosia","Peru",1498,2015,68,"Canada",3.5,NA,"Peru","No"
"Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,NA,"Peru","Yes"
"Amedei","Porcelana",111,2007,70,"Italy",4,"Criollo (Porcelana)","Venezuela","Yes"
"Amedei","Chuao",111,2007,70,"Italy",5,"Trinitario","Venezuela","Yes"
"Amedei","Ecuador",123,2007,70,"Italy",3,"Trinitario","Ecuador","Yes"
"Amedei","Jamaica",123,2007,70,"Italy",3,"Trinitario","Jamaica","Yes"
"Amedei","Grenada",123,2007,70,"Italy",3.5,"Trinitario","Grenada","Yes"
"Amedei","Venezuela",123,2007,70,"Italy",3.75,"Trinitario (85% Criollo)","Venezuela","Yes"
"Amedei","Madagascar",123,2007,70,"Italy",4,"Trinitario (85% Criollo)","Madagascar","Yes"
"Amedei","Trinidad",129,2007,70,"Italy",3.5,"Trinitario","Trinidad","Yes"
"AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Forastero (Catongo)","Brazil","Yes"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",2.75,"Forastero (Parazinho)","Brazil","Yes"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"Forastero (Parazinho)","Brazil","No"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"Forastero (Parazinho)","Brazil","Yes"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"Forastero (Parazinho)","Brazil","No"
"Anahata","Elvesia",1259,2014,75,"U.S.A.",3,NA,"Dominican Republic","Yes"
"Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,NA,"Bolivia","Yes"
"Ara","Madagascar",1375,2014,75,"France",3,"Trinitario","Madagascar","Yes"
"Ara","Chiapas",1379,2014,72,"France",2.5,NA,"Mexico","Yes"
"Ara","Equateur",1379,2014,75,"France",2.75,NA,"Ecuador","Yes"
"Ara","Trincheras",1379,2014,75,"France",3,NA,"Venezuela","Yes"
"Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Trinitario","Trinidad","Yes"
"Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,NA,"Tanzania","Yes"
"Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Trinitario","Vietnam","Yes"
"Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Arete","Lachua",1904,2016,70,"U.S.A.",3.5,NA,"Guatemala","Yes"
"Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,NA,"Nicaragua","Yes"
"Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,NA,"Honduras","Yes"
"Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,NA,"Costa Rica","Yes"
"Arete","Phantom",1924,2016,70,"U.S.A.",4,"Forastero (Nacional)","Peru","Yes"
"Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,NA,"Dominican Republic","Yes"
"Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,NA,"Fiji","Yes"
"Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,NA,"Vietnam","Yes"
"Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,NA,"Brazil","Yes"
"Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Forastero (Nacional)","Peru","No"
"Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"Forastero (Nacional)","Ecuador","Yes"
"Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,NA,"Domincan Republic","Yes"
"Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"Trinitario","Belize","Yes"
"Arete","Chuno",1598,2015,70,"U.S.A.",4,"Criollo, Trinitario","Nicaragua","Yes"
"Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",2.75,NA,"Brazil","Yes"
"Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,NA,"Guatemala","Yes"
"Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,NA,"Ecuador","Yes"
"Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Trinitario","Trinidad","Yes"
"Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,NA,"Colombia","Yes"
"Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,NA,"Haiti","Yes"
"Artisan du Chocolat","Panama",745,2011,72,"U.K.",2.75,NA,"Panama","Yes"
"Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,NA,"Venezuela","Yes"
"Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"Trinitario","Jamaica","Yes"
"Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,NA,"Costa Rica","Yes"
"Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Trinitario","Vietnam","Yes"
"Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,NA,"Indonesia","Yes"
"Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Criollo, Trinitario","Venezuela","Yes"
"Artisan du Chocolat","Java",355,2009,72,"U.K.",2.75,"Trinitario","Indonesia","Yes"
"Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,NA,"Brazil","Yes"
"Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Criollo, Trinitario","Madagascar","Yes"
"Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Criollo","Peru","Yes"
"Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Trinitario","Dominican Republic","Yes"
"Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"Forastero","Congo","Yes"
"Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",2.75,"Trinitario","Colombia","Yes"
"Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"Trinitario","Tanzania","No"
"Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"Trinitario","Tanzania","Yes"
"Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"Trinitario","Honduras","Yes"
"Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"Trinitario","Philippines","Yes"
"Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Trinitario","Mexico","Yes"
"Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Forastero (Arriba)","Ecuador","Yes"
"Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,NA,"Papua New Guinea","Yes"
"Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Trinitario","Madagascar","Yes"
"Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,NA,"Brazil","Yes"
"Bakau","Bambamarca, 2015",1454,2015,70,"Peru",2.75,NA,"Peru","Yes"
"Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,NA,"Peru","Yes"
"Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,NA,"Brazil","Yes"
"Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"Forastero (Nacional)","Peru","Yes"
"Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,NA,"Dominican Republic","Yes"
"Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,NA,"Mexico","Yes"
"Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"Trinitario","Madagascar","Yes"
"Baravelli's","single estate",955,2012,80,"Wales",2.75,NA,"Costa Rica","Yes"
"Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,NA,"Domincan Republic","No"
"Batch","Brazil",1868,2016,70,"U.S.A.",3.75,NA,"Brazil","Yes"
"Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,NA,"Ecuador","No"
"Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,NA,"Malaysia","Yes"
"Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,NA,"Malaysia","Yes"
"Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",2.75,NA,"Brazil","Yes"
"Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",2.75,NA,"Domincan Republic","Yes"
"Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",2.75,NA,"Ecuador","Yes"
"Beehive","Ecuador",1788,2016,90,"U.S.A.",2.75,NA,"Ecuador","Yes"
"Belcolade","Costa Rica",586,2010,64,"Belgium",2.75,NA,"Costa Rica","No"
"Belcolade","Papua New Guinea",586,2010,64,"Belgium",2.75,NA,"Papua New Guinea","No"
"Belcolade","Peru",586,2010,64,"Belgium",2.75,NA,"Peru","No"
"Belcolade","Ecuador",586,2010,71,"Belgium",3.5,NA,"Ecuador","Yes"
"Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Criollo, Trinitario","Tanzania","Yes"
"Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,NA,"Bolivia","Yes"
"Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,NA,"Domincan Republic","Yes"
"Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",2.75,"Trinitario","Belize","Yes"
"Belyzium","Belize south",1768,2016,78,"Germany",3,"Trinitario","Belize","Yes"
"Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Trinitario","Belize","Yes"
"Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Trinitario","Cuba","Yes"
"Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Criollo","Venezuela","Yes"
"Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Criollo","Venezuela","Yes"
"Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"Trinitario","Ecuador","Yes"
"Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"Trinitario","Indonesia","Yes"
"Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"Trinitario","Madagascar","Yes"
"Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Trinitario","Madagascar","No"
"Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Criollo","Venezuela","Yes"
"Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,NA,"Venezuela","Yes"
"Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,NA,"Ecuador","Yes"
"Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Trinitario","Venezuela","Yes"
"Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Criollo (Porcelana)","Venezuela","Yes"
"Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,NA,"Indonesia","No"
"Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,NA,"Venezuela","Yes"
"Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,NA,"Nicaragua","Yes"
"Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,NA,"Costa Rica","Yes"
"Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,NA,"Costa Rica","Yes"
"Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Trinitario","Belize","Yes"
"Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Forastero","Ghana","Yes"
"Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,NA,"Indonesia","Yes"
"Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"Blend","Dominican Rep., Bali","Yes"
"Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",2.75,NA,"Indonesia","No"
"Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Trinitario","Madagascar","Yes"
"Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Criollo","Venezuela","Yes"
"Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,NA,"Dominican Republic","Yes"
"Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,NA,"Dominican Republic","No"
"Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Trinitario","Madagascar","Yes"
"Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Trinitario","Madagascar","No"
"Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Trinitario","Madagascar","Yes"
"Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,NA,"Panama","Yes"
"Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,NA,"Dominican Republic","No"
"Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Forastero","Ghana","Yes"
"Black Mountain","La Red",256,2008,70,"U.S.A.",2.75,NA,"Dominican Republic","Yes"
"Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",2.75,"Trinitario","Venezuela","Yes"
"Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,NA,"Nicaragua","Yes"
"Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",2.75,"Trinitario","Jamaica","Yes"
"Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Forastero","Congo","Yes"
"Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Trinitario","Madagascar","Yes"
"Blue Bandana","Lachua",1752,2016,75,"U.S.A.",2.75,NA,"Guatemala","Yes"
"Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,NA,"Tanzania","Yes"
"Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,NA,"Dominican Republic","Yes"
"Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,NA,"Guatemala","Yes"
"Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"Trinitario","Madagascar","Yes"
"Bonnat","Selva Maya",1912,2016,75,"France",3.5,NA,"Mexico","Yes"
"Bonnat","Kaori",1339,2014,75,"France",4,NA,"Brazil","Yes"
"Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,NA,"Dominican Republic","Yes"
"Bonnat","Surfin",1418,2014,65,"France",3.75,NA,"Venez,Africa,Brasil,Peru,Mex","No"
"Bonnat","Maragnam",1038,2013,75,"France",3.5,NA,"Brazil","Yes"
"Bonnat","Gabon",1042,2013,75,"France",3.25,NA,"Gabon","Yes"
"Bonnat","Cuba",629,2011,75,"France",3.5,"Trinitario","Cuba","Yes"
"Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,NA,"Peru","Yes"
"Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Forastero (Nacional)","Peru","Yes"
"Bonnat","Libanio",629,2011,75,"France",3.75,NA,"Brazil","Yes"
"Bonnat","Haiti",629,2011,75,"France",4,NA,"Haiti","Yes"
"Bonnat","Madagascar, 100% criollo",629,2011,75,"France",4,"Criollo","Madagascar","Yes"
"Bonnat","Juliana",672,2011,75,"France",3.5,NA,"Brazil","Yes"
"Bonnat","Jamaique",761,2011,75,"France",3.25,"Trinitario","Jamaica","Yes"
"Bonnat","Ivory Coast",331,2009,75,"France",3,NA,"Ivory Coast","Yes"
"Bonnat","Porcelana, Apotequil",336,2009,75,"France",2.75,"Criollo","Peru","Yes"
"Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Criollo","Mexico","Yes"
"Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Criollo","Mexico","Yes"
"Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"Criollo (Porcelana)","Venezuela","Yes"
"Bonnat","Equateur",123,2007,75,"France",2.5,"Forastero (Arriba)","Ecuador","Yes"
"Bonnat","Trinite",24,2006,75,"France",3.75,"Trinitario","Carribean","Yes"
"Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,NA,"Venezuela","Yes"
"Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"Criollo","Venezuela","Yes"
"Bonnat","Madagascar",75,2006,75,"France",4,"Trinitario","Madagascar","Yes"
"Bonnat","Ceylan",81,2006,75,"France",3,NA,"Sri Lanka","Yes"
"Bonnat","Chuao",81,2006,75,"France",4,"Trinitario","Venezuela","Yes"
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Forastero (Arriba)","Ecuador","Yes"
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Forastero (Arriba)","Ecuador","Yes"
"Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",2.75,"Trinitario","Belize","Yes"
"Bowler Man","Conacado",1271,2014,70,"U.S.A.",2.75,NA,"Dominican Republic","Yes"
"Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Criollo","Venezuela","Yes"
"Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,NA,"Nicaragua","Yes"
"Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,NA,"Dominican Republic","No"
"Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"Trinitario","Belize","Yes"
"Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"Trinitario","Venezuela","Yes"
"Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Trinitario","Dominican Republic","Yes"
"Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Forastero","Ghana","Yes"
"Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Trinitario","Venezuela","Yes"
"Brazen","Elvesia P.",1514,2015,60,"U.S.A.",3,NA,"Dominican Republic","No"
"Brazen","Elvesia P.",1514,2015,80,"U.S.A.",3.25,NA,"Dominican Republic","Yes"
"Brazen","Alta Verapaz, 2014",1514,2015,70,"U.S.A.",3.5,NA,"Guatemala","Yes"
"Brazen","Ambolikapiky P.",1518,2015,80,"U.S.A.",2.75,NA,"Madagascar","Yes"
"Brazen","Maya Mountain",1518,2015,80,"U.S.A.",3.25,"Trinitario","Belize","Yes"
"Brazen","Ambolikapkly P.",1518,2015,60,"U.S.A.",3.25,NA,"Madagascar","No"
"Breeze Mill","Jamaica",1149,2013,70,"U.S.A.",3,"Trinitario","Jamaica","Yes"
"Bright","Somia Plantation",1231,2014,72,"Australia",3,"Trinitario","Madagascar","Yes"
"Bright","Marabel Farms",1231,2014,70,"Australia",3.5,NA,"Dominican Republic","Yes"
"Bright","Camino Verde, Balao, Guayas",1231,2014,72,"Australia",3.5,NA,"Ecuador","Yes"
"Bright","Gran Couva",1235,2014,68,"Australia",2.75,"Trinitario","Trinidad","No"
"Britarev","Ecuador",1638,2015,70,"Russia",3.25,NA,"Ecuador","Yes"
"Bronx Grrl Chocolate","Dominican Republic",1181,2013,68,"U.S.A.",2.75,NA,"Dominican Republic","No"
"Burnt Fork Bend","Trinidad",1299,2014,72,"U.S.A.",3.25,"Trinitario","Trinidad","Yes"
"Burnt Fork Bend","Mindo",1299,2014,72,"U.S.A.",3.5,NA,"Ecuador","Yes"
"Burnt Fork Bend","Belize",1303,2014,72,"U.S.A.",3.25,"Trinitario","Belize","Yes"
"Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,60,"U.S.A.",2.5,NA,"Ecuador","No"
"Cacao Arabuco","Puerto Rico",1606,2015,70,"Puerto Rico",2.5,NA,"Puerto Rico","Yes"
"Cacao Atlanta","Tumbes",1215,2014,75,"U.S.A.",2.5,"Criollo","Peru","Yes"
